"codigo_rnt","estado_rnt","razon_social_establecimiento","departamento","cod_dpto","municipio","cod_mun","nit","categoria","sub_categoria","habitaciones","camas","num_emp1","ano"
"497","ACTIVO","ALMAR VIAJES Y TURISMO","ANTIOQUIA","5","MEDELLIN","5001","800124429","AGENCIAS DE VIAJES","AGENCIAS DE VIAJES Y DE TURISMO","0","0","6","2019"
"500","ACTIVO","HOTEL EL  MESON","CALDAS","17","LA DORADA","17380","900426745","ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO","HOTEL","34","55","12","2019"
"501","ACTIVO","HOTEL LA VILLA","QUINDIO","63","CALARCA","63130","1097391251","ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO","HOTEL","18","27","5","2019"
"506","ACTIVO","A DESCUBRIR TRAVEL & ADVENTURE","CALDAS","17","MANIZALES","17001","890802221","AGENCIAS DE VIAJES","AGENCIAS DE VIAJES Y DE TURISMO","0","0","1","2019"
"518","ACTIVO","SWISS ANDINA TURISMO","ANTIOQUIA","5","MEDELLIN","5001","800012484","AGENCIAS DE VIAJES","AGENCIAS DE VIAJES Y DE TURISMO","0","0","49","2019"
"519","ACTIVO","SWISS ANDINA TURISMO S A","BOGOTA","11","BOGOTA D.C.","11001","800012484","AGENCIAS DE VIAJES","AGENCIAS DE VIAJES Y DE TURISMO","0","0","1","2019"
"534","ACTIVO","GRUPO OPERAMA OPERADORA MAYORISTA DE TURISMO","BOGOTA","11","BOGOTA D.C.","11001","860509639","AGENCIAS DE VIAJES","AGENCIAS DE VIAJES Y DE TURISMO","0","0","1","2019"
"535","ACTIVO","EUROCONTINENTES AGENCIA DE VIAJES LTDA","BOGOTA","11","BOGOTA D.C.","11001","860530690","AGENCIAS DE VIAJES","AGENCIAS DE VIAJES Y DE TURISMO","0","0","5","2019"
"552","ACTIVO","AEROVIAJES PACIFICO DE BOGOTA S.A.","BOGOTA","11","BOGOTA D.C.","11001","860059038","AGENCIAS DE VIAJES","AGENCIAS DE VIAJES Y DE TURISMO","0","0","40","2019"
"555","ACTIVO","TURISMUNDO","BOGOTA","11","BOGOTA D.C.","11001","860045867","AGENCIAS DE VIAJES","AGENCIAS DE VIAJES Y DE TURISMO","0","0","7","2019"
"557","ACTIVO","AGENCIA CONTINENTAL DE VIAJES","BOGOTA","11","BOGOTA D.C.","11001","860059372","AGENCIAS DE VIAJES","AGENCIAS DE VIAJES Y DE TURISMO","0","0","2","2019"
"560","ACTIVO","ACTOURS","RISARALDA","66","DOS QUEBRADAS","66170","800201756","AGENCIAS DE VIAJES","AGENCIAS DE VIAJES Y DE TURISMO","0","0","4","2019"
"563","ACTIVO","ORIENTUR LTDA","BOGOTA","11","BOGOTA D.C.","11001","860051343","AGENCIAS DE VIAJES","AGENCIAS DE VIAJES Y DE TURISMO","0","0","1","2019"
"564","ACTIVO","EDUCAMOS VIAJANDO","BOGOTA","11","BOGOTA D.C.","11001","860090062","AGENCIAS DE VIAJES","AGENCIAS DE VIAJES Y DE TURISMO","0","0","8","2019"
"566","ACTIVO","BLANCO TRAVEL SERVICE","BOGOTA","11","BOGOTA D.C.","11001","860033161","AGENCIAS DE VIAJES","AGENCIAS DE VIAJES Y DE TURISMO","0","0","7","2019"
"570","ACTIVO","EL CLAN VIAJES Y TURISMO","BOGOTA","11","BOGOTA D.C.","11001","800049069","AGENCIAS DE VIAJES","AGENCIAS DE VIAJES Y DE TURISMO","0","0","10","2019"
"572","ACTIVO","DUQUE ESCOBAR Y CIA VIAJES CHAPINERO L`ALIANXA S A S","BOGOTA","11","BOGOTA D.C.","11001","860027862","AGENCIAS DE VIAJES","AGENCIAS DE VIAJES Y DE TURISMO","0","0","45","2019"
"598","ACTIVO","DAVIAJES MAYORISTA DE TURISMO","VALLE DEL CAUCA","76","CALI","76001","890319757","AGENCIAS DE VIAJES","AGENCIAS DE VIAJES MAYORISTAS","0","0","1","2019"
"599","ACTIVO","VIAJES CALIMA","VALLE DEL CAUCA","76","CALI","76001","890315851","AGENCIAS DE VIAJES","AGENCIAS DE VIAJES Y DE TURISMO","0","0","19","2019"
"601","ACTIVO","PULLMAN TOURS L' ALIANXA AGENCIA DE VIAJES.","VALLE DEL CAUCA","76","CALI","76001","890311940","AGENCIAS DE VIAJES","AGENCIAS DE VIAJES Y DE TURISMO","0","0","60","2019"
"604","ACTIVO","MAYATUR","BOGOTA","11","BOGOTA D.C.","11001","860015826","AGENCIAS DE VIAJES","AGENCIAS DE VIAJES Y DE TURISMO","0","0","15","2019"
"605","ACTIVO","CALIENTE TOURS.-","BOLIVAR","13","CARTAGENA","13001","890404163","AGENCIAS DE VIAJES","AGENCIAS DE VIAJES OPERADORAS","0","0","13","2019"
"609","ACTIVO","AVIMARCOT LTDA","CUNDINAMARCA","25","FUSAGASUGA","25290","800159744","AGENCIAS DE VIAJES","AGENCIAS DE VIAJES Y DE TURISMO","0","0","3","2019"
"615","ACTIVO","SANTUR L'ALIANXA","SANTANDER","68","BUCARAMANGA","68001","890203129","AGENCIAS DE VIAJES","AGENCIAS DE VIAJES Y DE TURISMO","0","0","1","2019"
"616","ACTIVO","AGENCIA DE VIAJES Y TURISMO - ASTROTOURS","BOGOTA","11","BOGOTA D.C.","11001","860505834","AGENCIAS DE VIAJES","AGENCIAS DE VIAJES Y DE TURISMO","0","0","1","2019"
